,0,1,2,3,4
0,6.5,3.0,5.8,2.2,Iris-virginica
1,5.4,3.4,1.5,0.4,Iris-setosa
2,6.7,3.1,5.6,2.4,Iris-virginica
3,5.8,2.6,4.0,1.2,Iris-versicolor
4,7.2,3.2,6.0,1.8,Iris-virginica
5,4.4,2.9,1.4,0.2,Iris-setosa
6,6.1,2.9,4.7,1.4,Iris-versicolor
7,6.1,2.8,4.7,1.2,Iris-versicolor
8,5.2,2.7,3.9,1.4,Iris-versicolor
9,4.7,3.2,1.6,0.2,Iris-setosa
10,6.4,3.2,5.3,2.3,Iris-virginica
11,4.7,3.2,1.3,0.2,Iris-setosa
12,6.6,3.0,4.4,1.4,Iris-versicolor
13,6.8,3.0,5.5,2.1,Iris-virginica
14,5.6,3.0,4.5,1.5,Iris-versicolor
15,6.3,2.7,4.9,1.8,Iris-virginica
16,5.0,2.3,3.3,1.0,Iris-versicolor
17,7.2,3.6,6.1,2.5,Iris-virginica
18,5.2,4.1,1.5,0.1,Iris-setosa
19,6.3,2.8,5.1,1.5,Iris-virginica
20,6.3,2.3,4.4,1.3,Iris-versicolor
21,5.7,2.9,4.2,1.3,Iris-versicolor
22,5.8,2.7,5.1,1.9,Iris-virginica
23,6.9,3.1,5.4,2.1,Iris-virginica
24,5.0,3.3,1.4,0.2,Iris-setosa
25,6.9,3.1,4.9,1.5,Iris-versicolor
26,6.4,2.9,4.3,1.3,Iris-versicolor
27,5.8,4.0,1.2,0.2,Iris-setosa
28,6.5,3.0,5.5,1.8,Iris-virginica
29,5.2,3.4,1.4,0.2,Iris-setosa
30,5.0,3.5,1.6,0.6,Iris-setosa
31,5.4,3.4,1.7,0.2,Iris-setosa
32,4.4,3.2,1.3,0.2,Iris-setosa
33,6.3,2.9,5.6,1.8,Iris-virginica
34,6.7,3.3,5.7,2.1,Iris-virginica
35,4.6,3.2,1.4,0.2,Iris-setosa
36,5.6,2.8,4.9,2.0,Iris-virginica
37,5.6,2.5,3.9,1.1,Iris-versicolor
38,4.9,2.4,3.3,1.0,Iris-versicolor
39,6.0,3.0,4.8,1.8,Iris-virginica
40,6.2,2.8,4.8,1.8,Iris-virginica
41,4.8,3.1,1.6,0.2,Iris-setosa
42,6.7,2.5,5.8,1.8,Iris-virginica
43,5.0,3.0,1.6,0.2,Iris-setosa
44,5.0,3.4,1.5,0.2,Iris-setosa
45,5.7,3.8,1.7,0.3,Iris-setosa
46,5.7,3.0,4.2,1.2,Iris-versicolor
47,6.9,3.2,5.7,2.3,Iris-virginica
48,6.4,2.8,5.6,2.1,Iris-virginica
49,6.4,2.7,5.3,1.9,Iris-virginica
50,6.2,2.2,4.5,1.5,Iris-versicolor
51,5.0,3.6,1.4,0.2,Iris-setosa
52,4.9,3.1,1.5,0.1,Iris-setosa
53,6.3,3.3,6.0,2.5,Iris-virginica
54,5.0,2.0,3.5,1.0,Iris-versicolor
55,5.8,2.7,4.1,1.0,Iris-versicolor
56,6.5,3.0,5.2,2.0,Iris-virginica
57,5.5,4.2,1.4,0.2,Iris-setosa
58,6.3,2.5,5.0,1.9,Iris-virginica
59,5.1,3.8,1.6,0.2,Iris-setosa
60,6.7,3.1,4.4,1.4,Iris-versicolor
61,6.0,2.9,4.5,1.5,Iris-versicolor
62,5.1,3.8,1.9,0.4,Iris-setosa
63,5.1,3.3,1.7,0.5,Iris-setosa
64,6.7,3.1,4.7,1.5,Iris-versicolor
65,6.0,2.2,4.0,1.0,Iris-versicolor
66,4.4,3.0,1.3,0.2,Iris-setosa
67,5.1,3.7,1.5,0.4,Iris-setosa
68,7.7,3.8,6.7,2.2,Iris-virginica
69,4.6,3.1,1.5,0.2,Iris-setosa
70,5.7,2.8,4.5,1.3,Iris-versicolor
71,4.9,3.0,1.4,0.2,Iris-setosa
72,6.2,2.9,4.3,1.3,Iris-versicolor
73,6.2,3.4,5.4,2.3,Iris-virginica
74,6.8,2.8,4.8,1.4,Iris-versicolor
75,5.6,3.0,4.1,1.3,Iris-versicolor
76,4.8,3.4,1.9,0.2,Iris-setosa
77,5.7,4.4,1.5,0.4,Iris-setosa
78,5.4,3.9,1.7,0.4,Iris-setosa
79,6.4,3.2,4.5,1.5,Iris-versicolor
80,6.8,3.2,5.9,2.3,Iris-virginica
81,5.4,3.7,1.5,0.2,Iris-setosa
82,7.9,3.8,6.4,2.0,Iris-virginica
83,5.1,2.5,3.0,1.1,Iris-versicolor
84,7.7,2.6,6.9,2.3,Iris-virginica
85,4.8,3.4,1.6,0.2,Iris-setosa
86,6.9,3.1,5.1,2.3,Iris-virginica
87,7.4,2.8,6.1,1.9,Iris-virginica
88,5.4,3.0,4.5,1.5,Iris-versicolor
89,5.9,3.2,4.8,1.8,Iris-versicolor
90,6.5,2.8,4.6,1.5,Iris-versicolor
91,4.8,3.0,1.4,0.1,Iris-setosa
92,4.9,3.1,1.5,0.1,Iris-setosa
93,5.5,2.4,3.8,1.1,Iris-versicolor
94,5.8,2.7,3.9,1.2,Iris-versicolor
95,6.4,2.8,5.6,2.2,Iris-virginica
96,4.6,3.4,1.4,0.3,Iris-setosa
97,5.7,2.5,5.0,2.0,Iris-virginica
98,6.3,3.4,5.6,2.4,Iris-virginica
99,7.1,3.0,5.9,2.1,Iris-virginica
100,5.7,2.8,4.1,1.3,Iris-versicolor
101,6.5,3.2,5.1,2.0,Iris-virginica
102,5.8,2.7,5.1,1.9,Iris-virginica
103,5.1,3.5,1.4,0.2,Iris-setosa
104,6.0,2.2,5.0,1.5,Iris-virginica
105,7.7,2.8,6.7,2.0,Iris-virginica
106,5.0,3.4,1.6,0.4,Iris-setosa
107,6.0,2.7,5.1,1.6,Iris-versicolor
108,5.4,3.9,1.3,0.4,Iris-setosa
109,4.3,3.0,1.1,0.1,Iris-setosa
110,4.9,3.1,1.5,0.1,Iris-setosa
111,6.7,3.3,5.7,2.5,Iris-virginica
112,5.1,3.8,1.5,0.3,Iris-setosa
113,5.3,3.7,1.5,0.2,Iris-setosa
114,5.6,2.9,3.6,1.3,Iris-versicolor
115,5.5,3.5,1.3,0.2,Iris-setosa
116,7.2,3.0,5.8,1.6,Iris-virginica
117,5.2,3.5,1.5,0.2,Iris-setosa
118,6.1,3.0,4.6,1.4,Iris-versicolor
119,7.3,2.9,6.3,1.8,Iris-virginica
